result,val1,val2,val3,val4,val5,val6,val7,val8,val9,val10,val11,val12,val13,val14,val15,val16,val17,val18,val19,val20,val21,val22,val23,val24,val25,val26,val27,val28,val29,val30,val31
0.0,1,8370,130,3,3,A,0.0,3.0,0.0,0.0,0.0,0.51,40.3,23.9,4.85,5.06,99.5,3.6,7.4,6.3,391.0,392.0,5.94,-0.1,0.0,0.0,-0.1,-0.1,5.43,0.0,-0.1
1.0,2,16587,17,2,1,B,0.468,3.0,0.511,1.0,1.0,0.51,39.8,24.3,4.84,4.93,-0.2,17.5,9.0,4.1,395.0,399.0,5.94,0.0,0.0,0.0,3.8,1.1,4.89,0.0,-0.1
0.0,2,16587,17,1,4,D,0.0,3.0,0.0,0.0,0.0,0.51,39.7,24.2,4.84,4.9,84.8,35.7,9.5,4.3,391.0,389.0,5.91,0.0,0.0,274.0,-0.1,-0.3,5.03,0.0,0.0
1.0,1,8370,130,4,2,B,0.455,3.0,0.488,1.0,1.0,0.51,39.1,24.2,4.85,4.87,-0.1,98.1,8.4,4.3,392.0,416.0,5.96,-0.1,0.0,232.0,-0.2,-0.3,5.77,0.0,0.0
0.0,1,8370,130,2,6,A,0.0,3.0,0.0,0.0,0.0,0.51,38.3,24.1,4.84,5.09,104.9,30.3,9.4,5.5,389.0,371.0,5.92,0.0,0.0,332.0,0.4,1.5,5.73,0.0,-0.1
0.0,1,8370,130,2,1,B,0.0,3.0,0.0,0.0,0.0,0.52,39.1,24.4,4.85,5.17,-0.2,0.0,1.1,4.7,384.0,391.0,5.96,0.0,0.0,0.0,0.0,-0.2,5.68,0.0,0.0
0.0,1,8370,130,2,4,A,0.0,3.0,0.0,0.0,0.0,0.51,38.6,24.0,4.72,4.9,-0.2,41.2,9.2,5.1,400.0,418.0,5.96,0.0,0.0,0.0,0.9,2.7,5.44,0.0,-0.1
0.0,1,8370,130,3,2,D,0.0,3.0,0.0,0.0,0.0,0.52,34.6,23.9,4.84,4.98,106.7,8.2,9.9,5.0,394.0,396.0,5.95,-0.1,0.0,0.0,0.7,-0.3,5.37,0.0,0.0
1.0,1,8370,130,3,1,D,0.163,3.0,0.507,1.0,1.0,0.52,34.9,24.5,4.84,5.02,96.0,5.8,9.2,5.4,385.0,392.0,5.92,-0.1,0.0,328.0,-0.1,-0.2,5.66,0.0,0.1
0.0,1,8370,130,3,3,D,0.0,3.0,0.0,0.0,0.0,0.52,34.2,24.2,4.86,5.03,102.1,125.6,9.4,5.5,402.0,417.0,5.91,0.0,0.0,327.0,6.3,4.1,5.3,0.1,0.0
0.0,1,8370,130,3,6,C,0.0,3.0,0.0,0.0,0.0,0.52,34.4,24.6,4.85,5.02,28.0,29.8,9.8,4.5,392.0,394.0,5.91,-0.1,0.0,221.0,0.4,1.8,5.06,0.0,-0.1
1.0,1,8370,130,4,2,A,0.207,3.0,0.488,1.0,1.0,0.51,33.4,24.9,4.85,5.14,54.6,123.3,8.9,4.9,416.0,398.0,5.95,-0.1,0.0,0.0,4.2,1.3,5.48,0.0,0.0
1.0,1,8370,130,3,6,D,0.21,3.0,0.78,1.0,1.0,0.52,33.1,24.6,4.83,4.93,2.3,77.7,9.5,4.1,398.0,415.0,5.92,0.0,0.0,332.0,-0.2,-0.2,5.23,0.0,0.1
0.0,1,8370,130,3,2,C,0.0,3.0,0.0,0.0,0.0,0.51,33.2,24.9,4.83,5.05,44.6,130.3,9.7,4.2,392.0,385.0,5.96,0.0,0.0,0.0,-0.2,-0.3,5.3,0.0,0.0
1.0,1,8370,130,3,3,C,0.195,3.0,0.0,1.0,0.0,0.52,33.0,24.3,4.84,4.99,112.3,13.8,10.2,5.8,368.0,415.0,5.92,-0.1,0.0,269.0,0.3,1.4,5.56,-0.1,0.0
0.0,1,8370,130,1,4,A,0.0,3.0,0.0,0.0,0.0,0.51,33.4,24.3,4.83,4.86,103.2,22.4,9.6,5.7,407.0,417.0,5.96,0.0,0.0,0.0,0.0,-0.2,5.16,0.0,0.0
1.0,1,8370,130,3,5,D,0.201,3.0,0.6829999999999999,1.0,1.0,0.52,32.9,24.6,4.83,4.96,94.9,20.0,9.5,4.5,420.0,398.0,5.91,0.0,0.0,330.0,0.2,1.0,5.4,0.2,0.0
1.0,1,8370,130,3,4,D,0.206,3.0,0.421,1.0,1.0,0.51,33.1,24.9,4.84,4.82,-0.2,64.7,9.7,4.0,392.0,561.0,5.96,0.0,0.0,0.0,0.9,2.5,5.2,0.0,0.0
0.0,1,8370,130,1,5,A,0.0,3.0,0.0,0.0,0.0,0.52,32.7,24.8,4.85,4.87,66.3,129.2,9.0,6.1,400.0,408.0,5.95,0.0,0.0,0.0,2.6,4.1,5.07,0.0,0.0
0.0,1,8370,130,1,2,A,0.0,3.0,0.0,0.0,0.0,0.51,32.8,24.4,4.84,4.86,106.9,9.4,9.8,5.1,414.0,409.0,5.96,0.0,0.0,0.0,4.2,1.6,5.5,0.0,0.0
1.0,1,8370,130,1,1,A,0.211,3.0,0.748,1.0,1.0,0.51,32.7,24.4,4.84,5.08,104.7,68.2,9.5,6.1,391.0,391.0,5.92,0.0,0.0,329.0,0.0,-0.2,5.16,0.1,-0.1
0.0,1,8370,130,4,6,B,0.0,3.0,0.0,0.0,0.0,0.51,33.4,24.6,4.84,5.02,2.8,24.1,9.0,7.3,422.0,400.0,5.92,0.0,0.0,266.0,0.4,1.4,5.17,0.0,0.0
0.0,1,8370,130,4,1,C,0.0,3.0,0.0,0.0,0.0,0.51,33.6,24.4,4.85,5.0,-0.1,9.5,10.2,4.8,417.0,402.0,5.92,0.0,0.0,281.0,4.2,1.5,5.04,0.0,-0.1
1.0,1,8370,130,4,3,A,17.2,3.0,0.0,2.0,0.0,0.52,32.7,24.6,4.84,5.05,98.5,35.5,10.2,5.4,402.0,420.0,5.96,-0.1,0.0,0.0,4.0,1.4,5.09,0.1,0.0
0.0,1,8370,130,3,1,E,0.0,3.0,0.0,0.0,0.0,0.51,33.7,24.7,4.8,4.81,99.0,89.1,9.1,5.1,415.0,398.0,5.92,-0.1,0.0,270.0,-0.2,-0.2,5.5,-0.2,0.1
0.0,1,8370,130,3,5,C,0.0,3.0,0.0,0.0,0.0,0.51,33.7,24.7,4.84,5.13,-0.2,20.1,9.8,5.0,390.0,387.0,5.95,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.1
0.0,1,8370,130,3,4,C,0.0,3.0,0.0,0.0,0.0,0.52,33.3,24.2,4.85,4.72,-0.1,52.4,9.8,5.5,398.0,404.0,5.95,0.0,0.0,0.0,-0.2,-0.3,5.62,0.0,0.0
1.0,1,8370,130,1,3,A,0.21600000000000005,3.0,0.748,1.0,1.0,0.52,33.7,24.7,4.75,4.99,0.0,47.4,9.2,4.4,417.0,402.0,5.92,-0.1,0.0,329.0,6.2,6.7,5.1,39.8,0.1
0.0,1,8370,130,4,1,A,0.0,3.0,0.0,0.0,0.0,0.52,33.9,24.0,4.85,4.98,4.0,67.6,9.7,4.1,395.0,368.0,5.93,0.0,0.0,327.0,0.4,1.7,5.34,0.0,0.0
0.0,1,8370,130,4,5,B,0.0,3.0,0.0,0.0,0.0,0.51,33.8,24.7,4.75,4.96,96.8,33.6,9.9,5.7,336.0,391.0,5.92,0.0,0.0,243.0,0.3,1.5,5.2,-0.1,0.1
1.0,1,8370,130,4,5,C,0.221,3.0,0.684,1.0,1.0,0.52,33.5,24.2,4.83,4.93,17.6,33.9,9.4,5.0,424.0,397.0,5.92,0.0,0.0,332.0,0.3,1.2,5.04,0.0,0.0
0.0,1,8370,130,4,2,B,0.0,3.0,0.0,0.0,0.0,0.51,33.6,24.2,4.83,5.04,14.4,41.1,10.1,4.4,418.0,392.0,5.95,-0.1,0.0,0.0,0.1,0.6,5.75,0.1,-0.1
0.0,1,8370,130,4,5,A,0.0,3.0,0.0,0.0,0.0,0.52,34.0,24.1,4.84,4.97,-0.1,51.5,9.5,5.5,390.0,384.0,5.9,-0.1,0.0,329.0,-0.1,-0.3,5.18,-0.2,0.0
1.0,1,8370,130,4,3,B,0.225,3.0,0.0,0.0,0.0,0.51,33.8,24.7,4.83,4.96,-0.1,91.9,8.9,4.9,400.0,424.0,5.95,0.0,0.0,0.0,4.2,1.3,5.4,0.0,0.0
0.0,1,8370,130,3,2,E,0.0,3.0,0.0,0.0,0.0,0.52,33.1,24.5,4.83,5.08,100.6,12.8,9.7,4.7,382.0,395.0,5.91,0.0,0.0,332.0,0.2,1.1,5.42,0.0,0.1
1.0,1,8370,130,4,4,B,0.0,3.0,0.0,0.0,0.0,0.51,33.8,24.7,4.83,4.93,104.6,58.9,8.8,5.6,397.0,387.0,5.92,-0.1,0.0,280.0,0.3,1.6,5.59,0.1,0.0
0.0,1,8370,130,4,6,A,0.0,3.0,0.0,0.0,0.0,0.52,33.2,24.3,4.85,4.93,115.3,28.2,9.3,6.1,397.0,336.0,5.92,0.0,0.0,259.0,3.8,1.2,4.76,0.0,0.1
0.0,1,8370,130,4,4,A,0.0,3.0,0.0,0.0,0.0,0.51,33.7,24.0,4.85,4.76,97.7,47.6,9.6,5.7,398.0,416.0,5.92,0.0,0.0,278.0,0.1,0.7,5.04,0.0,0.2
0.0,1,8370,130,4,2,C,0.0,3.0,0.0,0.0,0.0,0.51,33.5,24.3,4.83,4.9,94.9,6.6,9.1,5.6,411.0,416.0,5.95,-0.1,0.0,0.0,0.3,1.3,4.93,0.0,0.0
0.0,1,8370,130,4,6,D,0.0,3.0,0.0,0.0,0.0,0.52,33.9,24.2,4.84,5.05,104.3,26.5,9.4,4.9,393.0,390.0,5.83,0.0,0.0,176.0,0.2,0.8,5.48,0.0,0.0
0.0,1,8370,130,4,4,D,0.0,3.0,0.0,0.0,0.0,0.51,34.1,24.5,4.84,4.95,109.8,51.2,8.6,6.0,399.0,388.0,5.92,0.0,0.0,331.0,5.6,6.5,5.25,5.1,0.0
0.0,1,8370,130,4,1,D,0.0,3.0,0.0,0.0,0.0,0.52,33.3,24.4,4.84,5.04,105.8,29.8,9.7,5.7,402.0,424.0,5.91,0.0,0.0,330.0,6.6,7.2,5.04,13.3,0.1
1.0,1,8370,130,4,2,D,0.198,3.0,0.461,1.0,1.0,0.51,33.9,24.8,4.85,4.9,104.0,10.9,9.6,5.6,397.0,394.0,5.9,0.0,0.0,272.0,0.0,-0.1,5.1,0.0,0.0
0.0,1,8370,130,4,4,C,0.0,3.0,0.0,0.0,0.0,0.53,33.9,24.2,4.79,4.95,-0.1,68.4,9.6,6.2,391.0,382.0,5.96,0.0,0.0,0.0,0.5,1.9,4.75,-0.2,0.1
0.0,1,8370,130,4,1,B,0.0,3.0,0.0,0.0,0.0,0.52,34.2,24.5,4.85,4.93,110.1,138.8,8.2,5.5,387.0,393.0,5.96,0.0,0.0,0.0,0.3,1.5,5.07,0.0,-0.1
1.0,1,8370,130,5,5,B,0.516,3.0,0.35600000000000004,1.0,1.0,0.51,34.7,24.2,4.85,5.07,64.9,25.4,10.0,5.1,412.0,393.0,5.91,-0.1,0.0,329.0,4.9,-0.2,5.2,0.0,67.2
0.0,1,8370,130,5,2,B,0.0,3.0,0.0,0.0,0.0,0.52,34.4,24.7,4.84,4.95,4.9,51.7,9.7,7.2,393.0,393.0,5.91,0.0,0.0,329.0,0.6,1.9,5.11,0.0,-0.2
0.0,1,8370,130,4,6,C,0.0,3.0,0.0,0.0,0.0,0.51,34.6,24.3,4.84,5.16,-0.1,53.7,9.7,4.5,428.0,401.0,5.91,0.0,0.0,206.0,0.7,2.5,5.56,0.0,0.0
0.0,1,8370,130,4,1,E,0.0,3.0,0.0,0.0,0.0,0.52,34.2,24.3,4.85,4.99,90.9,7.8,8.5,4.6,391.0,393.0,5.95,0.0,0.0,0.0,4.6,5.1,5.31,0.1,0.0
0.0,1,8370,130,5,6,A,0.0,3.0,0.0,0.0,0.0,0.52,33.9,24.1,4.85,4.76,-0.2,123.0,8.6,4.2,404.0,400.0,5.91,-0.1,0.0,321.0,0.0,-0.2,5.23,-0.2,0.1
0.0,1,8370,130,5,3,B,0.0,3.0,0.0,0.0,0.0,0.51,33.9,24.7,4.84,4.94,-0.2,95.3,8.5,5.3,394.0,400.0,5.91,0.0,0.0,273.0,6.7,-0.3,5.15,0.0,25.1
0.0,1,8370,130,5,4,B,0.0,3.0,0.0,0.0,0.0,0.52,34.4,24.4,4.84,4.84,97.8,75.6,9.5,5.5,402.0,405.0,5.9,0.0,0.0,279.0,6.0,7.2,5.11,25.0,0.2
0.0,1,8370,130,5,5,A,0.0,3.0,0.0,0.0,0.0,0.51,33.5,24.5,4.83,4.76,99.2,65.6,8.7,5.2,400.0,424.0,5.92,-0.1,0.0,259.0,7.4,6.9,5.28,32.1,0.2
0.0,1,8370,130,4,2,E,0.0,3.0,0.0,0.0,0.0,0.52,33.5,24.6,4.85,4.93,0.0,135.5,9.4,4.6,388.0,392.0,5.94,0.0,0.0,0.0,4.4,-0.3,5.3,0.0,0.0
0.0,1,8370,130,5,1,B,0.0,3.0,0.0,0.0,0.0,0.51,34.0,24.0,4.83,4.92,5.9,34.1,9.7,4.2,400.0,419.0,5.92,-0.1,0.0,235.0,3.0,4.5,4.89,0.0,0.0
0.0,1,8370,130,4,3,D,0.0,3.0,0.0,0.0,0.0,0.51,33.8,24.6,4.84,4.9,110.4,15.8,10.4,5.1,381.0,393.0,5.91,0.0,0.0,326.0,5.1,5.4,5.24,0.2,0.0
0.0,1,8370,130,4,5,D,0.0,3.0,0.0,0.0,0.0,0.51,32.7,24.6,4.85,4.89,-0.1,124.6,7.8,4.6,402.0,416.0,5.92,0.0,0.0,328.0,0.0,0.0,4.84,0.0,0.0
0.0,1,5761,72,4,2,D,0.0,3.0,0.0,0.0,0.0,0.52,31.4,24.7,4.84,5.17,7.5,38.6,9.5,8.0,394.0,4150.0,5.96,0.0,0.0,0.0,0.0,-0.1,5.07,0.0,0.2
1.0,1,5761,72,4,6,B,6.501,3.0,0.0,2.0,0.0,0.52,31.5,24.7,4.85,4.92,26.1,5.5,8.9,4.1,396.0,391.0,5.95,-0.1,0.0,0.0,0.0,-0.2,5.33,-0.1,0.1
0.0,1,5761,72,4,5,C,0.0,3.0,0.0,0.0,0.0,0.52,31.4,24.2,4.85,5.0,-0.1,21.0,10.2,5.0,416.0,391.0,5.93,-0.1,0.0,329.0,-0.1,-0.3,5.63,0.0,-0.1
0.0,1,5761,72,4,4,C,0.0,3.0,0.0,0.0,0.0,0.52,32.0,24.3,4.83,4.96,95.9,44.1,10.2,5.4,402.0,409.0,5.92,0.0,0.0,254.0,1.0,-0.3,5.52,0.0,0.2
0.0,1,5761,72,4,1,B,0.0,3.0,0.0,0.0,0.0,0.52,31.2,24.6,4.85,4.9,-0.1,17.6,9.8,4.3,395.0,392.0,5.95,-0.1,0.0,0.0,1.4,0.0,5.13,-0.1,0.0
0.0,1,5761,72,4,3,C,0.0,3.0,0.0,0.0,0.0,0.52,31.4,24.2,4.85,4.97,88.8,10.5,10.3,5.2,389.0,394.0,5.91,-0.1,0.0,332.0,-0.1,-0.3,5.79,0.0,0.0
1.0,1,5761,72,4,2,C,0.261,3.0,0.485,1.0,1.0,0.52,31.7,24.4,4.85,4.92,90.0,99.8,8.5,4.4,423.0,400.0,5.92,0.0,0.0,330.0,1.2,3.0,5.19,0.0,0.1
1.0,1,5761,72,4,1,D,0.221,3.0,0.7490000000000001,1.0,1.0,0.52,31.0,24.7,4.85,4.83,94.0,16.9,9.6,4.6,416.0,395.0,5.92,0.0,0.0,258.0,0.8,3.2,5.12,0.0,0.1
0.0,1,5761,72,4,1,C,0.0,3.0,0.0,0.0,0.0,0.51,31.1,24.8,4.86,4.93,100.3,78.1,8.4,5.0,398.0,422.0,5.95,0.0,0.0,0.0,-0.1,-0.3,5.49,0.1,-0.1
0.0,1,5761,72,4,6,A,0.0,3.0,0.0,0.0,0.0,0.52,31.1,24.3,4.84,5.08,-0.1,16.4,9.8,5.5,386.0,396.0,5.95,0.0,0.0,0.0,7.6,5.2,5.41,0.0,14.7
1.0,1,5761,72,4,4,B,0.261,3.0,0.368,1.0,1.0,0.51,31.3,24.5,4.86,4.88,95.8,44.6,9.1,5.5,391.0,416.0,5.92,0.0,0.0,334.0,1.4,4.2,4.78,0.0,-0.1
0.0,1,5761,72,4,5,A,0.0,3.0,0.0,0.0,0.0,0.52,31.9,24.1,4.85,5.05,16.3,0.0,4.9,7.5,421.0,393.0,5.96,0.0,0.0,0.0,1.7,3.7,5.47,-0.1,0.2
0.0,1,5761,72,4,5,B,0.0,3.0,0.0,0.0,0.0,0.51,30.8,24.5,4.8,5.12,109.3,0.0,6.5,6.5,392.0,396.0,5.9,0.0,0.0,332.0,-0.1,-0.2,5.36,-0.1,0.1
0.0,1,8370,130,4,2,D,0.0,3.0,0.0,0.0,0.0,0.52,29.7,24.1,4.84,5.16,78.2,4.4,9.2,6.4,392.0,388.0,5.9,0.0,0.0,336.0,7.6,-0.2,5.52,0.0,4.1
